player_name,zone_1_attempted,zone_1_made,zone_2_attempted,zone_2_made,zone_3_attempted,zone_3_made,zone_4_attempted,zone_4_made,zone_5_attempted,zone_5_made,zone_6_attempted,zone_6_made,zone_7_attempted,zone_7_made,zone_8_attempted,zone_8_made,zone_9_attempted,zone_9_made,zone_10_attempted,zone_10_made,zone_11_attempted,zone_11_made,zone_12_attempted,zone_12_made,zone_13_attempted,zone_13_made,zone_14_attempted,zone_14_made,zone_15_attempted,zone_15_made
Justin Holiday,0.16602316602316602,0.627906976744186,0.0694980694980695,0.14814814814814814,0.001287001287001287,1.0,0.009009009009009007,0.42857142857142855,0.025740025740025745,0.45,0.032175032175032175,0.32,0.023166023166023158,0.3888888888888889,0.03346203346203346,0.3076923076923077,0.04247104247104247,0.3939393939393939,0.10810810810810813,0.4047619047619048,0.10296010296010297,0.425,0.11454311454311455,0.2921348314606741,0.15701415701415702,0.3688524590163935,0.11196911196911197,0.26436781609195403,0.002574002574002574,0.0
Justin Jackson,0.1711340206185567,0.7710843373493976,0.15463917525773194,0.48,0.01443298969072165,0.2857142857142857,0.020618556701030927,0.5,0.03298969072164948,0.5,0.05154639175257732,0.4,0.006185567010309278,0.3333333333333333,0.018556701030927842,0.1111111111111111,0.024742268041237112,0.25,0.08865979381443301,0.4186046511627907,0.09690721649484536,0.3617021276595745,0.13195876288659794,0.359375,0.12783505154639174,0.3870967741935484,0.055670103092783516,0.1851851851851852,0.004123711340206186,0.0
Justise Winslow,0.2923898531375167,0.5799086757990868,0.2082777036048064,0.3461538461538461,0.01602136181575434,0.4166666666666667,0.006675567423230975,0.6,0.02403204272363151,0.3888888888888889,0.04806408544726302,0.3611111111111111,0.020026702269692925,0.4,0.01335113484646195,0.6,0.029372496662216287,0.3181818181818182,0.07343124165554073,0.4545454545454545,0.04939919893190922,0.2702702702702703,0.09746328437917223,0.3972602739726027,0.08544726301735647,0.375,0.03337783711615487,0.32,0.002670226969292389,0.0
Jusuf Nurkic,0.6343825665859564,0.5877862595419847,0.1864406779661017,0.3831168831168831,0.009685230024213077,0.375,0.0048426150121065395,0.5,0.021791767554479417,0.5,0.010895883777239709,0.3333333333333333,0.04479418886198548,0.4864864864864865,0.014527845036319613,0.5,0.03753026634382567,0.2903225806451613,0.0012106537530266349,0.0,0.0012106537530266349,0.0,0.009685230024213077,0.125,0.0024213075060532693,0.5,0.020581113801452784,0.05882352941176471,0.0,0.0
Karl-Anthony Towns,0.3401826484018265,0.6935123042505593,0.2298325722983257,0.4701986754966888,0.01141552511415525,0.6666666666666666,0.0060882800608828,0.375,0.05555555555555555,0.3698630136986301,0.04490106544901065,0.423728813559322,0.015220700152207,0.5,0.01293759512937595,0.4117647058823529,0.01445966514459665,0.3157894736842105,0.02054794520547945,0.4074074074074074,0.01141552511415525,0.4666666666666667,0.06316590563165905,0.3614457831325301,0.0441400304414003,0.5344827586206896,0.1293759512937595,0.3647058823529412,0.00076103500761035,0.0
Kawhi Leonard,0.2736935341009743,0.6763754045307443,0.1470327723649247,0.4819277108433735,0.0070859167404783,0.375,0.011514614703277236,0.3076923076923077,0.06465899025686449,0.5616438356164384,0.10806023029229407,0.4098360655737705,0.024800708591674048,0.3928571428571429,0.05757307351638617,0.4923076923076923,0.03808680248007086,0.4186046511627907,0.023029229406554472,0.4615384615384616,0.023914968999114262,0.3333333333333333,0.0566873339238264,0.328125,0.0992028343666962,0.38392857142857145,0.06465899025686449,0.3698630136986301,0.0,0.0
Kelly Olynyk,0.28368794326241137,0.69375,0.0726950354609929,0.5121951219512195,0.0035460992907801405,0.5,0.0,0.0,0.01773049645390071,0.5,0.024822695035461,0.21428571428571427,0.012411347517730495,0.14285714285714285,0.010638297872340424,0.5,0.008865248226950355,0.6,0.0673758865248227,0.3947368421052632,0.0673758865248227,0.3684210526315789,0.17198581560283688,0.30927835051546393,0.1879432624113475,0.3584905660377358,0.06914893617021277,0.41025641025641024,0.0017730496453900707,0.0
Kelly Oubre Jr.,0.3717339667458433,0.6006389776357828,0.14489311163895488,0.4016393442622951,0.005938242280285036,0.4,0.009501187648456056,0.25,0.014251781472684088,0.5833333333333334,0.027315914489311158,0.3478260869565217,0.0023752969121140144,0.5,0.00831353919239905,0.42857142857142855,0.014251781472684088,0.5833333333333334,0.03800475059382423,0.25,0.05700712589073635,0.3541666666666667,0.11401425178147268,0.3333333333333333,0.12351543942992875,0.3076923076923077,0.0665083135391924,0.32142857142857145,0.0023752969121140144,0.5
Kemba Walker,0.27909738717339666,0.551063829787234,0.11045130641330166,0.3870967741935484,0.0029691211401425177,0.8,0.012470308788598576,0.42857142857142855,0.019002375296912115,0.40625,0.027315914489311158,0.5434782608695652,0.029097387173396674,0.3877551020408163,0.04038004750593825,0.5147058823529411,0.04513064133016627,0.4605263157894737,0.011282660332541569,0.21052631578947367,0.01306413301662708,0.5454545454545454,0.10688836104513064,0.3666666666666665,0.15914489311163896,0.3544776119402985,0.1377672209026128,0.3534482758620689,0.005938242280285036,0.1
Kent Bazemore,0.3125904486251809,0.5740740740740741,0.10130246020260493,0.2,0.0028943560057887122,0.5,0.00723589001447178,0.4,0.015918958031837915,0.4545454545454545,0.02170767004341534,0.3333333333333333,0.03039073806078148,0.42857142857142855,0.02894356005788712,0.55,0.04486251808972504,0.3548387096774194,0.08972503617945007,0.3225806451612903,0.0723589001447178,0.34,0.07670043415340087,0.33962264150943394,0.10419681620839363,0.2777777777777778,0.085383502170767,0.3559322033898305,0.005788712011577425,0.0
